Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,23.0,26.5,23.0,26.5,26.5,77016
2022-01-04,26.5,26.75,24.0,24.0,24.0,60860
2022-01-05,24.25,24.25,21.75,22.25,22.25,50368
2022-01-06,22.75,23.0,21.25,21.75,21.75,37548
2022-01-07,22.0,22.75,21.25,21.75,21.75,57840
2022-01-10,22.75,22.75,21.25,21.75,21.75,39304
2022-01-11,22.0,22.75,21.25,22.0,22.0,23864
2022-01-12,23.0,23.0,20.75,20.75,20.75,64880
2022-01-13,20.75,21.0,20.25,20.5,20.5,44032
2022-01-14,20.75,22.0,20.25,22.0,22.0,48996
2022-01-18,21.75,21.75,20.5,20.5,20.5,31516
2022-01-19,20.5,21.0,20.25,20.5,20.5,23588
2022-01-20,20.75,22.5,20.75,20.75,20.75,39184
2022-01-21,21.5,21.75,19.75,20.0,20.0,70432
2022-01-24,20.0,20.75,18.75,20.5,20.5,80212
2022-01-25,20.75,21.5,20.0,20.5,20.5,58108
2022-01-26,20.5,21.75,20.25,20.5,20.5,48952
2022-01-27,20.75,21.0,19.5,20.0,20.0,34472
2022-01-28,20.5,21.75,19.75,21.5,21.5,46516
2022-01-31,21.75,24.75,21.5,24.75,24.75,112916
2022-02-01,25.0,26.0,23.25,25.75,25.75,63320
2022-02-02,26.25,26.5,23.25,25.5,25.5,93040
2022-02-03,25.25,25.5,23.25,23.25,23.25,48640
2022-02-04,24.25,24.25,22.5,23.5,23.5,47044
2022-02-07,23.75,24.5,23.25,24.0,24.0,33756
2022-02-08,23.5,24.0,22.75,23.5,23.5,22512
2022-02-09,23.5,24.5,23.25,24.25,24.25,37476
2022-02-10,23.5,25.75,23.25,24.25,24.25,92744
2022-02-11,24.25,25.0,22.75,23.0,23.0,61068
2022-02-14,22.75,23.0,21.5,21.5,21.5,44608
2022-02-15,21.75,22.5,21.75,22.25,22.25,36140
2022-02-16,22.5,22.5,21.75,22.25,22.25,20268
2022-02-17,22.0,22.5,21.5,21.75,21.75,24696
2022-02-18,21.5,22.25,21.25,21.5,21.5,19512
2022-02-22,21.25,24.25,21.25,23.25,23.25,45848
